NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
jq;https://github.com/nverno/tree-sitter-jq;2025-02-26;15;true;false;false
jq;https://github.com/flurie/tree-sitter-jq;2025-05-10;13;true;false;false
jsdoc;https://github.com/tree-sitter/tree-sitter-jsdoc;2025-01-25;14;true;true;false
json;https://github.com/tree-sitter/tree-sitter-json;2025-01-30;14;true;false;true
json5;https://github.com/Joakker/tree-sitter-json5;2024-04-30;14;true;false;false
json_schema;https://github.com/tree-sitter-grammars/tree-sitter-yaml;2025-05-28;14;true;false;false
jsonc;https://gitlab.com/WhyNotHugo/tree-sitter-jsonc;2021-03-07;13;true;false;false
jsonnet;https://github.com/sourcegraph/tree-sitter-jsonnet;2024-08-15;14;true;true;false
julia;https://github.com/tree-sitter/tree-sitter-julia;2025-06-29;14;true;true;false
just;https://github.com/IndianBoy42/tree-sitter-just;2025-01-05;14;true;true;false
kcl;https://github.com/kcl-lang/tree-sitter-kcl;2025-02-15;14;true;true;false
kconfig;https://github.com/tree-sitter-grammars/tree-sitter-kconfig;2024-12-22;14;true;true;false
kdl;https://github.com/spaarmann/tree-sitter-kdl;2024-02-03;14;true;true;false
kdl;https://github.com/tree-sitter-grammars/tree-sitter-kdl;2024-06-08;14;true;true;false
koka;https://github.com/mtoohey31/tree-sitter-koka;2025-01-26;14;true;true;false
kotlin;https://github.com/fwcd/tree-sitter-kotlin;2025-04-28;14;true;true;true
koto;https://github.com/koto-lang/tree-sitter-koto;2025-07-21;14;true;true;false
kusto;https://github.com/Willem-J-an/tree-sitter-kusto;2023-11-03;14;true;false;false
lalrpop;https://github.com/traxys/tree-sitter-lalrpop;2025-03-20;14;true;true;false
latex;https://github.com/latex-lsp/tree-sitter-latex;2025-07-05;-;true;true;false
lean;https://github.com/Julian/tree-sitter-lean;2024-12-25;13;true;true;false
ledger;https://github.com/cbarrete/tree-sitter-ledger;2025-03-31;14;true;false;false
legacy_schema;https://github.com/tree-sitter-grammars/tree-sitter-yaml;2025-05-28;14;true;false;false
leo;https://github.com/r001/tree-sitter-leo;2025-01-28;14;true;false;false
lilypond;https://github.com/tristanperalta/tree-sitter-lilypond;2023-09-27;14;true;false;false
linkerscript;https://github.com/tree-sitter-grammars/tree-sitter-linkerscript;2023-11-19;14;true;false;false
liquid;https://github.com/Shopify/tree-sitter-liquid;2023-11-20;14;true;false;false
liquid;https://github.com/hankthetank27/tree-sitter-liquid;2025-05-23;14;true;true;false
liquidsoap;https://github.com/savonet/tree-sitter-liquidsoap;2025-07-12;15;true;true;false
llvm;https://github.com/benwilliamgraham/tree-sitter-llvm;2025-07-20;15;true;false;false
